Timestamp,Year,Cycle,Event
2024-07-10 00:44:04,0,1,New character born: Grimblaze (toon0026) (Konforme) - Parents: Metalgrim (toon0013) and Emoflame (toon0019)
2024-07-10 00:44:04,0,1,New character born: Cybpoput (toon0027) (Poputah) - Parents: Putcyb (toon0020) and Hardpop (toon0016)
2024-07-10 00:44:05,0,2,New character born: Nightwhisper (toon0028) (Konforme) - Parents: Nightflame (toon0003) and Metalwhisper (toon0007)
2024-07-10 00:44:05,0,2,New character born: Noffiswig (toon0029) (Noffinoffs) - Parents: Noffidance (toon0009) and Funnynoff (toon0018)
2024-07-10 00:44:05,0,2,New character born: Metalshade (toon0030) (Konforme) - Parents: Emoflame (toon0019) and Metalgrim (toon0013)
2024-07-10 00:44:05,0,2,New character born: Noffysnort (toon0031) (Noffinoffs) - Parents: Noffidance (toon0023) and Partyfoff (toon0001)
2024-07-10 00:44:05,0,3,New character born: Noffibash (toon0032) (Noffinoffs) - Parents: Funnynoff (toon0018) and Noffidance (toon0009)
2024-07-10 00:44:05,0,4,New character born: Darkstorm (toon0033) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
2024-07-10 00:44:05,0,4,New character born: Popbotah (toon0034) (Poputah) - Parents: Putcyb (toon0020) and Hardpop (toon0016)
2024-07-10 00:44:05,0,5,New character born: Derplogs (toon0035) (Morfigo) - Parents: Plongler (toon0004) and Plomblis (toon0017)
2024-07-10 00:44:05,0,5,New character born: Noffidance (toon0036) (Noffinoffs) - Parents: Noffidance (toon0023) and Partyfoff (toon0001)
2024-07-10 00:44:05,0,6,New character born: Noffifizz (toon0037) (Noffinoffs) - Parents: Partyfoff (toon0001) and Noffidance (toon0023)
2024-07-10 00:44:05,0,6,New character born: Party-flare (toon0038) (Elgibidi) - Parents: Glibi-glitz (toon0002) and Party-flicker (toon0024)
2024-07-10 00:44:05,0,6,New character born: Grimshade (toon0039) (Konforme) - Parents: Nightflame (toon0003) and Metalwhisper (toon0007)
2024-07-10 00:44:05,0,6,New character born: Botput (toon0040) (Poputah) - Parents: Mechputah (toon0006) and Popcyb (toon0012)
2024-07-10 00:44:05,0,6,New character born: Emoshade (toon0041) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
2024-07-10 00:44:05,0,6,New character born: Cybput (toon0042) (Poputah) - Parents: Hardpop (toon0016) and Putcyb (toon0020)
2024-07-10 00:44:05,0,6,New character born: Noffiswiggle (toon0043) (Noffinoffs) - Parents: Noffibubble (toon0021) and Jollynoff (toon0005)
2024-07-10 00:44:05,0,6,New character born: Laughynoff (toon0044) (Noffinoffs) - Parents: Noffidance (toon0023) and Partyfoff (toon0001)
2024-07-10 00:44:05,0,7,New character born: Noffifrolic (toon0045) (Noffinoffs) - Parents: Partyfoff (toon0001) and Noffidance (toon0023)
2024-07-10 00:44:05,0,7,New character born: Roboputah (toon0046) (Poputah) - Parents: Mechputah (toon0006) and Popcyb (toon0012)
2024-07-10 00:44:05,0,7,New character born: Sexshadow (toon0047) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
2024-07-10 00:44:05,0,7,New character born: Metalfury (toon0048) (Konforme) - Parents: Metalgrim (toon0013) and Emoflame (toon0019)
2024-07-10 00:44:05,0,7,New character born: Partyglare (toon0049) (Konforme) - Parents: Partygrim (toon0014) and Darkglow (toon0011)
2024-07-10 00:44:05,0,7,New character born: Funnynoff (toon0050) (Noffinoffs) - Parents: Noffibubble (toon0021) and Jollynoff (toon0005)
2024-07-10 00:44:05,0,8,New character born: Shadowfury (toon0051) (Konforme) - Parents: Nightflame (toon0003) and Metalwhisper (toon0007)
2024-07-10 00:44:05,0,8,New character born: Dernplogs (toon0052) (Morfigo) - Parents: Plongler (toon0004) and Plomblis (toon0017)
2024-07-10 00:44:05,0,8,New character born: Nightstorm (toon0053) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
2024-07-10 00:44:05,0,8,New character born: Emoshade (toon0054) (Konforme) - Parents: Partygrim (toon0014) and Darkglow (toon0011)
2024-07-10 00:44:05,0,9,New character born: Gothflare (toon0055) (Konforme) - Parents: Nightflame (toon0003) and Metalwhisper (toon0007)
2024-07-10 00:44:05,0,9,New character born: Puttah (toon0056) (Poputah) - Parents: Putcyb (toon0020) and Hardpop (toon0016)
2024-07-10 00:44:05,0,9,New character born: Funnifnoff (toon0057) (Noffinoffs) - Parents: Noffidance (toon0023) and Partyfoff (toon0001)
2024-07-10 00:44:06,0,10,New character born: Plongplox (toon0058) (Morfigo) - Parents: Plongler (toon0004) and Plomblis (toon0017)
2024-07-10 00:44:06,0,10,New character born: Sexflare (toon0059) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
2024-07-10 00:44:06,0,10,New character born: Gothflare (toon0060) (Konforme) - Parents: Darkglow (toon0011) and Partygrim (toon0014)
2024-07-10 00:44:06,0,10,New character born: Grimblaze (toon0061) (Konforme) - Parents: Partygrim (toon0014) and Darkglow (toon0011)
2024-07-10 00:44:06,0,11,New character born: Sexflame (toon0062) (Konforme) - Parents: Nightflame (toon0003) and Metalwhisper (toon0007)
2024-07-10 00:44:06,0,11,New character born: Plomberplox (toon0063) (Morfigo) - Parents: Plongler (toon0004) and Plomblis (toon0017)
2024-07-10 00:44:06,0,11,New character born: Feftunes (toon0064) (Konforme) - Parents: Metalgrim (toon0013) and Emoflame (toon0019)
2024-07-10 00:44:06,0,11,New character born: Nofficraft (toon0065) (Noffinoffs) - Parents: Noffibubble (toon0021) and Jollynoff (toon0005)
2024-07-10 00:44:06,0,11,New character born: Noffidance (toon0066) (Noffinoffs) - Parents: Noffidance (toon0023) and Partyfoff (toon0001)
2024-07-10 00:44:06,0,12,New character born: Shadowbane (toon0067) (Konforme) - Parents: Metalwhisper (toon0007) and Nightflame (toon0003)
