Timestamp,Year,Cycle,Event
2024-07-08 01:02:40,0,1,New character born: KonformePerson (toon0026) (Konforme) - Parents: KonformePerson (toon0013) and KonformePerson (toon0018)
2024-07-08 01:02:40,0,1,New character born: MorfigoPerson (toon0027) (Morfigo) - Parents: MorfigoPerson (toon0019) and MorfigoPerson (toon0003)
2024-07-08 01:02:40,0,1,New character born: KonformePerson (toon0028) (Konforme) - Parents: KonformePerson (toon0024) and KonformePerson (toon0020)
2024-07-08 01:02:40,0,2,New character born: SkibidiPerson (toon0029) (Skibidi) - Parents: SkibidiPerson (toon0005) and SkibidiPerson (toon0002)
2024-07-08 01:02:40,0,2,New character born: MorfigoPerson (toon0030) (Morfigo) - Parents: MorfigoPerson (toon0006) and MorfigoPerson (toon0009)
2024-07-08 01:02:40,0,2,New character born: NoffinoffsPerson (toon0031) (Noffinoffs) - Parents: NoffinoffsPerson (toon0014) and NoffinoffsPerson (toon0007)
2024-07-08 01:02:40,0,3,New character born: MorfigoPerson (toon0032) (Morfigo) - Parents: MorfigoPerson (toon0006) and MorfigoPerson (toon0009)
2024-07-08 01:02:40,0,3,New character born: MorfigoPerson (toon0033) (Morfigo) - Parents: MorfigoPerson (toon0010) and MorfigoPerson (toon0011)
2024-07-08 01:02:41,0,4,New character born: NoffinoffsPerson (toon0034) (Noffinoffs) - Parents: NoffinoffsPerson (toon0001) and NoffinoffsPerson (toon0004)
2024-07-08 01:02:41,0,4,New character born: SkibidiPerson (toon0035) (Skibidi) - Parents: SkibidiPerson (toon0005) and SkibidiPerson (toon0002)
2024-07-08 01:02:41,0,4,New character born: MorfigoPerson (toon0036) (Morfigo) - Parents: MorfigoPerson (toon0006) and MorfigoPerson (toon0009)
2024-07-08 01:02:41,0,5,New character born: NoffinoffsPerson (toon0037) (Noffinoffs) - Parents: NoffinoffsPerson (toon0001) and NoffinoffsPerson (toon0004)
2024-07-08 01:02:41,0,5,New character born: NoffinoffsPerson (toon0038) (Noffinoffs) - Parents: NoffinoffsPerson (toon0014) and NoffinoffsPerson (toon0007)
2024-07-08 01:02:41,0,5,New character born: KonformePerson (toon0039) (Konforme) - Parents: KonformePerson (toon0018) and KonformePerson (toon0013)
2024-07-08 01:02:41,0,5,New character born: MorfigoPerson (toon0040) (Morfigo) - Parents: MorfigoPerson (toon0019) and MorfigoPerson (toon0003)
2024-07-08 01:02:41,0,6,New character born: NoffinoffsPerson (toon0041) (Noffinoffs) - Parents: NoffinoffsPerson (toon0004) and NoffinoffsPerson (toon0001)
2024-07-08 01:02:42,0,7,New character born: SkibidiPerson (toon0042) (Skibidi) - Parents: SkibidiPerson (toon0002) and SkibidiPerson (toon0005)
2024-07-08 01:02:42,0,7,New character born: PoputahPerson (toon0043) (Poputah) - Parents: PoputahPerson (toon0008) and PoputahPerson (toon0022)
2024-07-08 01:02:42,0,7,New character born: NoffinoffsPerson (toon0044) (Noffinoffs) - Parents: NoffinoffsPerson (toon0014) and NoffinoffsPerson (toon0007)
2024-07-08 01:02:42,0,7,New character born: KonformePerson (toon0045) (Konforme) - Parents: KonformePerson (toon0020) and KonformePerson (toon0024)
2024-07-08 01:02:42,0,8,New character born: MorfigoPerson (toon0046) (Morfigo) - Parents: MorfigoPerson (toon0009) and MorfigoPerson (toon0006)
2024-07-08 01:02:42,0,9,New character born: SkibidiPerson (toon0047) (Skibidi) - Parents: SkibidiPerson (toon0005) and SkibidiPerson (toon0002)
2024-07-08 01:02:42,0,9,New character born: MorfigoPerson (toon0048) (Morfigo) - Parents: MorfigoPerson (toon0011) and MorfigoPerson (toon0010)
2024-07-08 01:02:42,0,9,New character born: KonformePerson (toon0049) (Konforme) - Parents: KonformePerson (toon0013) and KonformePerson (toon0018)
2024-07-08 01:02:42,0,9,New character born: NoffinoffsPerson (toon0050) (Noffinoffs) - Parents: NoffinoffsPerson (toon0014) and NoffinoffsPerson (toon0007)
2024-07-08 01:02:42,0,9,New character born: KonformePerson (toon0051) (Konforme) - Parents: KonformePerson (toon0020) and KonformePerson (toon0024)
2024-07-08 01:02:42,0,9,New character born: KonformePerson (toon0052) (Konforme) - Parents: KonformePerson (toon0024) and KonformePerson (toon0020)
2024-07-08 01:02:43,0,10,New character born: MorfigoPerson (toon0053) (Morfigo) - Parents: MorfigoPerson (toon0006) and MorfigoPerson (toon0009)
2024-07-08 01:02:43,0,10,New character born: NoffinoffsPerson (toon0054) (Noffinoffs) - Parents: NoffinoffsPerson (toon0014) and NoffinoffsPerson (toon0007)
2024-07-08 01:02:43,0,11,New character born: KonformePerson (toon0055) (Konforme) - Parents: KonformePerson (toon0024) and KonformePerson (toon0020)
2024-07-08 01:02:43,0,12,New character born: NoffinoffsPerson (toon0056) (Noffinoffs) - Parents: NoffinoffsPerson (toon0001) and NoffinoffsPerson (toon0004)
2024-07-08 01:02:43,0,12,New character born: KonformePerson (toon0057) (Konforme) - Parents: KonformePerson (toon0018) and KonformePerson (toon0013)
2024-07-08 01:02:43,0,12,New character born: KonformePerson (toon0058) (Konforme) - Parents: KonformePerson (toon0020) and KonformePerson (toon0024)
2024-07-08 01:02:44,1,1,Death Announcement: NoffinoffsPerson (toon0031) (Noffinoffs) has died at age 1 due to Pneumonia.
2024-07-08 01:02:44,1,1,Death Announcement: MorfigoPerson (toon0033) (Morfigo) has died at age 1 due to Pneumonia.
2024-07-08 01:02:44,1,1,Death Announcement: NoffinoffsPerson (toon0041) (Noffinoffs) has died at age 1 due to Pneumonia.
2024-07-08 01:02:44,1,1,Death Announcement: KonformePerson (toon0051) (Konforme) has died at age 1 due to Flu.
2024-07-08 01:02:44,1,1,New character born: NoffinoffsPerson (toon0059) (Noffinoffs) - Parents: NoffinoffsPerson (toon0004) and NoffinoffsPerson (toon0001)
2024-07-08 01:02:44,1,1,New character born: MorfigoPerson (toon0060) (Morfigo) - Parents: MorfigoPerson (toon0010) and MorfigoPerson (toon0011)
2024-07-08 01:02:44,1,1,New character born: KonformePerson (toon0061) (Konforme) - Parents: KonformePerson (toon0018) and KonformePerson (toon0013)
