Date,Start time,End time,Total hours
2023-06-01,00:45:00,01:09:24,0.41
2023-06-01,07:05:27,07:58:30,0.88
2023-06-01,09:00:00,16:45:00,7.75
2023-06-02,08:22:33,17:16:00,8.89
2023-06-03,08:30:54,09:30:00,0.98
2023-06-05,00:27:00,00:44:43,0.30
2023-06-05,09:40:08,18:00:00,8.33
2023-06-06,09:00:00,17:10:44,8.18
2023-06-06,19:06:29,19:22:23,0.27
2023-06-07,07:54:17,09:52:09,1.96
2023-06-07,11:07:09,16:15:00,5.13
2023-06-07,20:00:50,20:56:00,0.92
2023-06-08,09:30:00,17:00:00,7.50
2023-06-08,23:05:23,00:43:00,1.63
2023-06-09,07:51:54,08:13:06,0.35
2023-06-09,10:38:07,17:24:56,6.78
2023-06-11,15:38:16,16:28:09,0.83
2023-06-11,18:00:00,18:15:00,0.25
2023-06-11,21:05:00,21:30:00,0.42
2023-06-12,00:00:00,00:45:00,0.75
2023-06-12,08:04:11,08:37:25,0.55
2023-06-12,09:44:41,17:31:50,7.79
2023-06-13,00:03:48,00:19:10,0.26
2023-06-13,08:00:00,17:30:00,9.50
2023-06-13,22:45:00,00:30:00,1.75
2023-06-14,00:30:00,01:49:00,1.32
2023-06-14,08:58:49,13:05:49,4.12
2023-06-14,14:20:46,14:44:02,0.39
2023-06-14,17:22:10,17:38:44,0.28
2023-06-14,20:00:04,20:34:09,0.57
2023-06-14,22:15:00,23:30:00,1.25
2023-06-15,08:57:46,13:54:28,4.95
2023-06-15,15:02:35,16:18:16,1.26
2023-06-15,20:07:25,20:43:42,0.60
2023-06-16,09:13:00,10:15:00,1.03
2023-06-16,11:35:00,12:30:00,0.92
2023-06-17,08:21:32,09:36:00,1.24
2023-06-17,10:39:04,10:42:30,0.06
2023-06-19,00:39:27,01:27:29,0.80
2023-06-19,09:40:00,15:48:34,6.14
2023-06-20,11:15:00,13:45:00,2.50
2023-06-20,16:08:27,16:57:50,0.82
2023-06-20,22:30:00,23:00:00,0.50
2023-06-21,09:30:00,17:40:02,8.17
2023-06-21,23:45:00,00:32:22,0.79
2023-06-22,10:21:01,17:30:10,7.15
2023-06-23,07:32:00,07:55:00,0.38
2023-06-23,09:28:00,16:59:00,7.52
2023-06-26,12:40:01,14:29:00,1.82
2023-06-27,09:00:00,10:00:00,1.00
2023-06-27,11:15:31,17:00:00,5.74
2023-06-28,08:30:00,17:05:00,8.58
2023-06-29,07:15:00,07:30:00,0.25
2023-06-29,09:50:00,17:35:00,7.75
2023-06-30,10:20:00,12:00:00,1.67
2023-06-30,13:37:35,14:35:23,0.96
2023-06-30,15:53:57,17:38:00,1.73
Overall Description Breakdown
"Client: Angelini, Bill: BD, Study: N/A",5.17 hours
"Client: BHVN, Bill: Study, Study: Ulaam",11.62 hours
"Client: BHVN, Bill: Study, Study: Taravangian",14.16 hours
"Client: BHVN, Bill: BD, Study: N/A",4.56 hours
"Client: BHVN, Bill: Study, Study: Larkin",27.62 hours
"Client: Cerevance, Bill: Study, Study: Lawson",1.00 hours
"Client: Cerevance, Bill: Study -, Study: N/A",0.25 hours
"Client: IVS, Bill: Admin, Study: SREDS",0.88 hours
"Client: IVS, Bill: Admin, Study: Scientific Meeting",2.17 hours
"Client: IVS, Bill: Admin, Study: Team",11.65 hours
"Client: IVS, Bill: BD, Study: N/A",13.24 hours
"Client: IVS, Bill: Admin, Study: N/A",27.41 hours
"Client: IVS, Bill: Admin, Study: S&R",5.67 hours
"Client: IVS, Bill: Admin, Study: ACC",1.75 hours
"Client: Marvel, Bill: Study, Study: Frontenac",1.24 hours
"Client: Marvel, Bill: Study, Study: Rachman",0.06 hours
"Client: Marvel, Bill: Study, Study: Grossmorne",0.52 hours
"Client: Marvel, Bill: BD, Study: N/A",3.31 hours
"Client: Pandea, Bill: Study, Study: Giovinazzi",19.73 hours
"Client: Toragen, Bill: BD, Study: N/A",1.49 hours
"Client: Xenon, Bill: BD, Study: N/A",1.77 hours
